id,required,phase,area,scenario,expected,evidence
W38-013,yes,W38,TrustedSnapshot,Availability intersection,Unavailable excluded,UNIT/REAL_POSTGRES
W38-014,yes,W38,TrustedSnapshot,Degraded policy,Explicit,UNIT/REAL_POSTGRES
W38-015,yes,W38,TrustedSnapshot,Missing capability,Fail closed,UNIT/REAL_POSTGRES
W38-016,yes,W38,TrustedSnapshot,Schema mismatch,Fail closed,UNIT/REAL_POSTGRES
W38-017,yes,W38,TrustedSnapshot,Semantic mismatch,Fail closed,UNIT/REAL_POSTGRES
W38-018,yes,W38,TrustedSnapshot,Expired availability,Refresh/fail closed,UNIT/REAL_POSTGRES
W38-019,yes,W38,TrustedSnapshot,Provider version from lock,No literal,UNIT/REAL_POSTGRES
W38-020,yes,W38,TrustedSnapshot,Snapshot deterministic,Canonical hash,UNIT/REAL_POSTGRES
W38-021,yes,W38,TrustedSnapshot,Job snapshot immutability,Insert-if-absent,UNIT/REAL_POSTGRES
W38-022,yes,W38,TrustedSnapshot,Product availability separation,No product not capability gap,UNIT/REAL_POSTGRES
W38-023,yes,W38,TrustedSnapshot,Existing general snapshot regression,Pass,UNIT/REAL_POSTGRES
W38-024,yes,W38,TrustedSnapshot,Persistence,Lock hashes retained,UNIT/REAL_POSTGRES
W38-025,yes,W38,TrustedSnapshot,No product history,Static guard,UNIT/REAL_POSTGRES
W39-001,yes,W39,RecipeMatcher,14 active patterns,Exact set,UNIT/STATIC_GUARD
W39-002,yes,W39,RecipeMatcher,30 capability locks,All accepted,UNIT/STATIC_GUARD
W39-003,yes,W39,RecipeMatcher,No prefix authorization,Static guard,UNIT/STATIC_GUARD
W39-004,yes,W39,RecipeMatcher,Recipe entry required,Missing rejected,UNIT/STATIC_GUARD
W39-005,yes,W39,RecipeMatcher,Recipe hash required,Drift rejected,UNIT/STATIC_GUARD
W39-006,yes,W39,RecipeMatcher,Descriptor hash required,Drift rejected,UNIT/STATIC_GUARD
W39-007,yes,W39,RecipeMatcher,Input schema hash exact,Drift rejected,UNIT/STATIC_GUARD
W39-008,yes,W39,RecipeMatcher,Output schema hash exact,Drift rejected,UNIT/STATIC_GUARD
W39-009,yes,W39,RecipeMatcher,Semantic hash exact,Drift rejected,UNIT/STATIC_GUARD
W39-010,yes,W39,RecipeMatcher,Operation version exact,Drift rejected,UNIT/STATIC_GUARD
W39-011,yes,W39,RecipeMatcher,PREVIEW selective allow,No global allow,UNIT/STATIC_GUARD
W39-012,yes,W39,RecipeMatcher,Specialized priority,Selected when exact,UNIT/STATIC_GUARD
W39-013,yes,W39,RecipeMatcher,Generic fallback,Selected when no specialized,UNIT/STATIC_GUARD
W39-014,yes,W39,RecipeMatcher,No approximate substitution,Gap,UNIT/STATIC_GUARD
W39-015,yes,W39,RecipeMatcher,Ambiguous match,Gap,UNIT/STATIC_GUARD
W39-016,yes,W39,RecipeMatcher,Capability unavailable,Gap,UNIT/STATIC_GUARD
W39-017,yes,W39,RecipeMatcher,Capability degraded reject,Policy,UNIT/STATIC_GUARD
W39-018,yes,W39,RecipeMatcher,Capability degraded allow,Evidence,UNIT/STATIC_GUARD
W39-019,yes,W39,RecipeMatcher,Snapshot mode supported,Checked,UNIT/STATIC_GUARD
W39-020,yes,W39,RecipeMatcher,ProductId unbound default,Enforced,UNIT/STATIC_GUARD
W39-021,yes,W39,RecipeMatcher,Explicit product allowed,Source anchored,UNIT/STATIC_GUARD
W39-022,yes,W39,RecipeMatcher,Provider ID not match key,Static/unit,UNIT/STATIC_GUARD
W39-023,yes,W39,RecipeMatcher,Matcher evidence descriptor,Included,UNIT/STATIC_GUARD
W39-024,yes,W39,RecipeMatcher,Matcher evidence recipe,Included,UNIT/STATIC_GUARD
W39-025,yes,W39,RecipeMatcher,Existing matcher regression,Pass,UNIT/STATIC_GUARD
W40-001,yes,W40,TypedCompiler,Generic sample template,Resolve→state→sample,UNIT/STATIC_GUARD
W40-002,yes,W40,TypedCompiler,Generic profile template,Resolve→line geometry→profile,UNIT/STATIC_GUARD
W40-003,yes,W40,TypedCompiler,Generic class template,Resolve→area geometry→find class,UNIT/STATIC_GUARD
W40-004,yes,W40,TypedCompiler,Generic range template,Resolve→area geometry→find range,UNIT/STATIC_GUARD
W40-005,yes,W40,TypedCompiler,Generic vector in-area,Resolve→geometry→find-in-area,UNIT/STATIC_GUARD
W40-006,yes,W40,TypedCompiler,Generic vector nearby,Resolve→state→find-nearby,UNIT/STATIC_GUARD
W40-007,yes,W40,TypedCompiler,Generic vector intersects,Resolve→geometry→intersections,UNIT/STATIC_GUARD
W40-008,yes,W40,TypedCompiler,ProductType literal,Descriptor-bound,UNIT/STATIC_GUARD
W40-009,yes,W40,TypedCompiler,ProductProfile literal,Descriptor-bound,UNIT/STATIC_GUARD
W40-010,yes,W40,TypedCompiler,ClassCodes literal,Constraint-bound,UNIT/STATIC_GUARD
W40-011,yes,W40,TypedCompiler,Ranges literal,Constraint-bound,UNIT/STATIC_GUARD
W40-012,yes,W40,TypedCompiler,PropertyFilters literal,Validated,UNIT/STATIC_GUARD
W40-013,yes,W40,TypedCompiler,PlatformProfile literal,Validated,UNIT/STATIC_GUARD
W40-014,yes,W40,TypedCompiler,Distance binding,Source constraint,UNIT/STATIC_GUARD
W40-015,yes,W40,TypedCompiler,Point node output,Correct target path,UNIT/STATIC_GUARD
W40-016,yes,W40,TypedCompiler,Selector node output,Correct target path,UNIT/STATIC_GUARD
W40-017,yes,W40,TypedCompiler,Line node output,Correct target path,UNIT/STATIC_GUARD
W40-018,yes,W40,TypedCompiler,Explicit product optional,Bound only if present,UNIT/STATIC_GUARD
W40-019,yes,W40,TypedCompiler,No default product ID,Static/unit,UNIT/STATIC_GUARD
W40-020,yes,W40,TypedCompiler,World query parameter hash from lock,No source constant,UNIT/STATIC_GUARD
W40-021,yes,W40,TypedCompiler,Schema ports exact,Matched,UNIT/STATIC_GUARD
W40-022,yes,W40,TypedCompiler,Operation input validates,Each generic op,UNIT/STATIC_GUARD
W40-023,yes,W40,TypedCompiler,Output binding valid,Each generic op,UNIT/STATIC_GUARD
W40-024,yes,W40,TypedCompiler,Plan hash deterministic,Pass,UNIT/STATIC_GUARD
W40-025,yes,W40,TypedCompiler,Budget node count,Pass,UNIT/STATIC_GUARD
W40-026,yes,W40,TypedCompiler,Budget depth,Pass,UNIT/STATIC_GUARD
W40-027,yes,W40,TypedCompiler,Budget output bytes,Pass,UNIT/STATIC_GUARD
W40-028,yes,W40,TypedCompiler,Budget runtime,Pass,UNIT/STATIC_GUARD
W40-029,yes,W40,TypedCompiler,Input geometry kind line,Required for profile,UNIT/STATIC_GUARD
W40-030,yes,W40,TypedCompiler,Wrong geometry kind,Gap,UNIT/STATIC_GUARD
W40-031,yes,W40,TypedCompiler,Specialized templates unchanged,Regression,UNIT/STATIC_GUARD
W40-032,yes,W40,TypedCompiler,Literal/request/node bindings,All supported,UNIT/STATIC_GUARD
W40-033,yes,W40,TypedCompiler,Reserved parameter guard,Pass,UNIT/STATIC_GUARD
W40-034,yes,W40,TypedCompiler,No operation IDs in planner,Boundary,UNIT/STATIC_GUARD
W40-035,yes,W40,TypedCompiler,Compiler contract regression,Pass,UNIT/STATIC_GUARD
W41-001,yes,W41,GatewayExecution,Gateway-only runtime,No direct GDPS,UNIT/REAL_POSTGRES/GOWM_GATEWAY
W41-002,yes,W41,GatewayExecution,Consumer locks loaded,Runtime,UNIT/REAL_POSTGRES/GOWM_GATEWAY
W41-003,yes,W41,GatewayExecution,Descriptor locks loaded,Runtime,UNIT/REAL_POSTGRES/GOWM_GATEWAY
W41-004,yes,W41,GatewayExecution,Recipe locks loaded,Runtime,UNIT/REAL_POSTGRES/GOWM_GATEWAY
W41-005,yes,W41,GatewayExecution,Node input assembly,Actual hash matches,UNIT/REAL_POSTGRES/GOWM_GATEWAY
W41-006,yes,W41,GatewayExecution,Node output resolution,Paths resolve,UNIT/REAL_POSTGRES/GOWM_GATEWAY
W41-007,yes,W41,GatewayExecution,Known reference selected,Not re-resolved,UNIT/REAL_POSTGRES/GOWM_GATEWAY
W41-008,yes,W41,GatewayExecution,Reference ambiguity,GDPS not executed,UNIT/REAL_POSTGRES/GOWM_GATEWAY
W41-009,yes,W41,GatewayExecution,Gateway auth,Pass,UNIT/REAL_POSTGRES/GOWM_GATEWAY
W41-010,yes,W41,GatewayExecution,Delegation scope,Pass,UNIT/REAL_POSTGRES/GOWM_GATEWAY
W41-011,yes,W41,GatewayExecution,Deadline,Pass,UNIT/REAL_POSTGRES/GOWM_GATEWAY
W41-012,yes,W41,GatewayExecution,Idempotency,Pass,UNIT/REAL_POSTGRES/GOWM_GATEWAY
W41-013,yes,W41,GatewayExecution,Single safe retry,Only eligible technical/source-change case,UNIT/REAL_POSTGRES/GOWM_GATEWAY
W41-014,yes,W41,GatewayExecution,No infinite retry,Pass,UNIT/REAL_POSTGRES/GOWM_GATEWAY
W41-015,yes,W41,GatewayExecution,Provider failure,FAILED normalized,UNIT/REAL_POSTGRES/GOWM_GATEWAY
W41-016,yes,W41,GatewayExecution,Capability gap pre-execution,No Gateway call,UNIT/REAL_POSTGRES/GOWM_GATEWAY
W41-017,yes,W41,GatewayExecution,Execution records,Persisted,UNIT/REAL_POSTGRES/GOWM_GATEWAY
W41-018,yes,W41,GatewayExecution,Existing Gateway runtime regression,Pass,UNIT/REAL_POSTGRES/GOWM_GATEWAY
W42-001,yes,W42,EvidenceStatus,Recipe ID evidence,Present,UNIT/REAL_POSTGRES
W42-002,yes,W42,EvidenceStatus,Recipe lock hash,Present,UNIT/REAL_POSTGRES
W42-003,yes,W42,EvidenceStatus,Descriptor ID,Present,UNIT/REAL_POSTGRES
W42-004,yes,W42,EvidenceStatus,Descriptor hash,Present,UNIT/REAL_POSTGRES
W42-005,yes,W42,EvidenceStatus,Product ID,Present,UNIT/REAL_POSTGRES
W42-006,yes,W42,EvidenceStatus,Product type,Present,UNIT/REAL_POSTGRES
W42-007,yes,W42,EvidenceStatus,Product profile,Present,UNIT/REAL_POSTGRES
W42-008,yes,W42,EvidenceStatus,Content hash,Present,UNIT/REAL_POSTGRES
W42-009,yes,W42,EvidenceStatus,Query profile,Present,UNIT/REAL_POSTGRES
W42-010,yes,W42,EvidenceStatus,Data snapshot,Present,UNIT/REAL_POSTGRES
W42-011,yes,W42,EvidenceStatus,Compute snapshot,Present,UNIT/REAL_POSTGRES
W42-012,yes,W42,EvidenceStatus,Receipt IDs,Present,UNIT/REAL_POSTGRES
W42-013,yes,W42,EvidenceStatus,Evidence IDs,Present,UNIT/REAL_POSTGRES
W42-014,yes,W42,EvidenceStatus,Quality,Preserved if provided,UNIT/REAL_POSTGRES
W42-015,yes,W42,EvidenceStatus,Truncated false,COMPLETED,UNIT/REAL_POSTGRES
W42-016,yes,W42,EvidenceStatus,Truncated true,PARTIAL,UNIT/REAL_POSTGRES
W42-017,yes,W42,EvidenceStatus,Empty collection,COMPLETED/NO_MATCH_FOUND,UNIT/REAL_POSTGRES
W42-018,yes,W42,EvidenceStatus,Product missing,DATA_GAP,UNIT/REAL_POSTGRES
W42-019,yes,W42,EvidenceStatus,Coverage insufficient,COVERAGE_GAP,UNIT/REAL_POSTGRES
W42-020,yes,W42,EvidenceStatus,Product ambiguity,AMBIGUOUS,UNIT/REAL_POSTGRES
W42-021,yes,W42,EvidenceStatus,Capability missing,CAPABILITY_GAP,UNIT/REAL_POSTGRES
W42-022,yes,W42,EvidenceStatus,Source changed,INDETERMINATE,UNIT/REAL_POSTGRES
W42-023,yes,W42,EvidenceStatus,Protocol failure,FAILED,UNIT/REAL_POSTGRES
W42-024,yes,W42,EvidenceStatus,No productVersion,Static guard,UNIT/REAL_POSTGRES
W42-025,yes,W42,EvidenceStatus,Evidence payload bounds,Existing object reference behavior preserved,UNIT/REAL_POSTGRES
W43-001,yes,W43,Currentness,check-current CURRENT,Usable,CURRENTNESS/UNIT/REAL_POSTGRES
W43-002,yes,W43,Currentness,check-current CHANGED,Stale,CURRENTNESS/UNIT/REAL_POSTGRES
W43-003,yes,W43,Currentness,check-current NOT_AVAILABLE,Data gap,CURRENTNESS/UNIT/REAL_POSTGRES
W43-004,yes,W43,Currentness,Strict reuse current,Allowed within policy,CURRENTNESS/UNIT/REAL_POSTGRES
W43-005,yes,W43,Currentness,Strict reuse changed,Blocked,CURRENTNESS/UNIT/REAL_POSTGRES
W43-006,yes,W43,Currentness,No silent current execution,Pass,CURRENTNESS/UNIT/REAL_POSTGRES
W43-007,yes,W43,Currentness,BEST_EFFORT explicit,New query,CURRENTNESS/UNIT/REAL_POSTGRES
W43-008,yes,W43,Currentness,SOURCE_ADVANCED warning,Present,CURRENTNESS/UNIT/REAL_POSTGRES
W43-009,yes,W43,Currentness,Previous hash,Recorded,CURRENTNESS/UNIT/REAL_POSTGRES
W43-010,yes,W43,Currentness,Actual hash,Recorded,CURRENTNESS/UNIT/REAL_POSTGRES
W43-011,yes,W43,Currentness,No historical read,Pass,CURRENTNESS/UNIT/REAL_POSTGRES
W43-012,yes,W43,Currentness,No product version,Pass,CURRENTNESS/UNIT/REAL_POSTGRES
