id,required,area,scenario,expected,test_type
AC-R004,yes,Reference,No random select,Ambiguous result has no confirmed candidate,security
AC-R005,yes,Reference,Unique suggested,SUGGESTED_UNIQUE remains suggested,contract
AC-R006,yes,Reference,Score separation,matchScore and stateConfidence remain separate,contract
AC-R007,yes,Reference,World version,Candidate worldVersion is preserved,contract
AC-R008,yes,Reference,Batch bound,Mention/candidate limits enforced,security
AC-R009,yes,Reference,Scope isolation,Other-scope names do not leak,security
AC-R010,yes,Reference,Validate prior,Expired/stale prior reference reported,real-e2e
AC-R011,yes,Reference,Map/reference conflict,Conflict returns ambiguity,real-e2e
AC-R012,yes,Reference,Unresolved,No candidate returns UNRESOLVED not FAILED,real-e2e
AC-Q001,yes,Compiler,Current state DAG,resolve→current-state compiles with exact ports,real-e2e
AC-Q002,yes,Compiler,Geometry DAG,resolve→geometry compiles,real-e2e
AC-Q003,yes,Compiler,Timeline DAG,resolve→event-timeline compiles,real-e2e
AC-Q004,yes,Compiler,Nearby DAG,resolve→spatial.find-nearby compiles when available,real-e2e
AC-Q005,yes,Compiler,Area DAG,resolve→spatial.find-in-area compiles,real-e2e
AC-Q006,yes,Compiler,H3 candidate,H3 candidate remains approximate,contract
AC-Q007,yes,Compiler,Exact verify,Boundary-sensitive H3 path requires Spatial exact node,policy
AC-Q008,yes,Compiler,Correlation DAG,correlation→timeline compiles,real-e2e
AC-Q009,yes,Compiler,Predicate DAG,predicate.evaluate compiles,real-e2e
AC-Q010,yes,Compiler,Unsupported visibility,Missing terrain/visibility returns gap,real-e2e
AC-Q011,yes,Compiler,No similar substitution,Compiler does not substitute wrong operation,policy
AC-Q012,yes,Compiler,Schema ports,Port mismatch fails before Gateway,contract
AC-Q013,yes,Compiler,Unit semantics,Meter and angular units are not mixed,contract
AC-Q014,yes,Compiler,Budget aggregate,Plan/node budgets remain within request,policy
AC-Q015,yes,Compiler,No direct plan input,Public request cannot supply arbitrary plan,security
AC-Q016,yes,Compiler,Canonical plan hash,Same frame produces stable plan hash,unit
AC-E001,yes,Evidence,Receipt separation,Execution receipt is not evidence,contract
AC-E002,yes,Evidence,NO_DATA,NO_DATA remains unknown not false,real-e2e
AC-E003,yes,Evidence,INDETERMINATE,Indeterminate remains non-negative,real-e2e
AC-E004,yes,Evidence,Partial nodes,Partial query preserves products and gaps,real-e2e
AC-E005,yes,Evidence,World fact authority,World facts carry GOWM authority,contract
AC-E006,yes,Evidence,Payload schema,Payload schema URI/hash preserved,contract
AC-E007,yes,Evidence,Snapshots,Data/compute snapshots stay separate,contract
AC-E008,yes,Evidence,Large payload,Large result uses ref/summary,security
AC-E009,yes,Evidence,Warnings,Upstream warnings retained,contract
AC-E010,yes,Evidence,No model evidence,Model receipt never enters evidenceIds,architecture
AC-O001,yes,Operational,Four dimensions,Task preserves four state dimensions,real-e2e
AC-O002,yes,Operational,Complete unverified,Provider completed does not become verified,real-e2e
AC-O003,yes,Operational,Correlation exact,Exact correlation finding returned,real-e2e
AC-O004,yes,Operational,Correlation conflict,Conflicting match remains conflict,real-e2e
AC-O005,yes,Operational,No match,"No match explicit, no invented task",real-e2e
AC-O006,yes,Operational,Event timeline,Timeline stable and scoped,real-e2e
AC-O007,yes,Operational,Predicate supported,Supported status/evidence preserved,real-e2e
AC-O008,yes,Operational,Predicate no data,NO_DATA remains no data,real-e2e
AC-O009,yes,Operational,Predicate negative,Negative gate evidence retained,real-e2e
AC-O010,yes,Operational,Observability,Gap/source health normalized,real-e2e
AC-O011,yes,Operational,No SDAR semantics,External authority opaque to WSGS,architecture
AC-O012,yes,Operational,No mutation,WSGS performs reads/analysis only,security
AC-P001,yes,Context,Prior result hash,Caller cannot substitute prior contents,security
AC-P002,yes,Context,Prior load scope,Prior result loads only in same scope,security
AC-P003,yes,Context,Alias,Explicit alias resolves prior selected product,real-e2e
AC-P004,yes,Context,TTL,Expired prior product is revalidated,real-e2e
AC-P005,yes,Context,No full history,API rejects conversation-history field,contract
AC-P006,yes,Context,Context limit,Oversized capsule returns 413,security
AC-P007,yes,Context,Map revision,Stale map revision detected,real-e2e
AC-P008,yes,Context,Result retention,Audit survives source-text expiry,real-db
AC-S001,yes,Security,Body scope injection,dataScope in body rejected,security
AC-S002,yes,Security,Missing auth,Protected route rejects missing identity,security
AC-S003,yes,Security,Wrong audience,JWT wrong audience rejected,security
AC-S004,yes,Security,Cross scope,Grounding/result invisible across scope,security
AC-S005,yes,Security,Arbitrary URL,Prompt/request cannot cause URL fetch,security
AC-S006,yes,Security,Arbitrary SQL,Prompt/request cannot cause SQL,security
AC-S007,yes,Security,Arbitrary operation,User cannot name operation IDs directly,security
AC-S008,yes,Security,Log redaction,Raw text/tokens/geometry absent from logs,security
AC-S009,yes,Security,Error redaction,Provider/model internals not leaked,security
AC-S010,yes,Security,Request size,Oversized source rejected before model,security
AC-S011,yes,Security,Unicode abuse,Invalid encoding/control input safe,security
AC-S012,yes,Security,Rate budget,Per principal/scope budget enforced,security
AC-S013,yes,Recovery,Model outage,Explicit grounding degrades correctly,fault
AC-S014,yes,Recovery,GOWM outage,No fabricated result,fault
AC-S015,yes,Recovery,GOWM restart,Retry/replay recovers safely,recovery
AC-S016,yes,Recovery,DB restart,Job/result/idempotency recover,recovery
AC-S017,yes,Recovery,Graceful shutdown,Worker releases safely,recovery
AC-S018,yes,Recovery,Queue load,Bounded queue,load
AC-S019,yes,API,Sync result,Short request returns 200,real-e2e
AC-S020,yes,API,Async accepted,Prefer async returns 202,real-e2e
AC-S021,yes,API,Poll result,GET returns exact terminal result,real-e2e
AC-S022,yes,API,Cancel,Cancel endpoint idempotent,real-e2e
AC-S023,yes,API,Optional degraded,Unavailable optional capability reported,real-e2e
AC-S024,yes,API,Required readiness,Missing required GOWM op makes 503,real-e2e
AC-FN001,yes,Final,Real GOWM,W16 uses locked GOWM and real HTTP/PostgreSQL,real-e2e
AC-FN002,yes,Final,Real semantic model,Natural gates use actual model,real-model
AC-FN003,yes,Final,Repository suite,Unit/contract/typecheck/build pass,ci
AC-FN004,yes,Final,Container,Non-root read-only container passes,container
AC-FN005,yes,Final,Migration,Fresh and restart recovery pass,real-db
AC-FN006,yes,Final,Contract freeze,WSGS v1 schemas/OpenAPI byte lock,contract
AC-FN007,yes,Final,Upstream freeze,GOWM lock exact at candidate,contract
AC-FN008,yes,Final,Architecture,Boundary scan passes,architecture
AC-FN009,yes,Final,Version,Package/VERSION/changelog agree 0.1.0,release
AC-FN010,yes,Final,SHA,Local and remote candidate SHAs match,git
AC-FN011,yes,Final,PR ready,Draft Ready only after matrix,github
AC-FN012,yes,Final,No protected actions,No merge/tag/release/deploy,github
AC-FN013,yes,Final,SACS contract ready,Northbound contract/examples frozen,contract
AC-FN014,yes,Final,Completion markers,Final emits both markers,report
